ICT Experts,,,,,,,,,,
Name,TaskCode,CurrentTask,Client Organisation,,,,,,Task Code,Task
Laila Aboli,6,Software Development,LGY,,,,,,1,Website Design
Greg Mina,4,PowerPoint,Avricom,,,,,,2,Database
Sri Paryanti,6,Software Development,LGY,,,,,,3,Spreadsheet
Bishen Patel,6,Software Development,LGY,,,,,,4,PowerPoint
Rupinder Singh,3,Spreadsheet,Hothouse Design,,,,,,5,Brochure
Sergio Gonzalez,5,Brochure,Binnaccount,,,,,,6,Software Development
Rupinder Vas,1,Website Design,Rootrainer,,,,,,7,PC maintenance
Bryan Revell,1,Website Design,Rootrainer,,,,,,,
Henri Ramos,7,PC maintenance,Rock ICT,,,,,,,
John Mortlock,2,Database,Quattichem,,,,,,,
Cameron Garnham,2,Database,Quattichem,,,,,,,
Brian Guthrie,1,Website Design,Rootrainer,,,,,,,
Julia Frobisher,5,Brochure,Binnaccount,,,,,,,
Dan McNevin,1,Website Design,Rootrainer,,,,,,,
Shelash O'Leary,1,Website Design,Rootrainer,,,,,,,
Patrick O'Malley,5,Brochure,Binnaccount,,,,,,,
Thirumalar Asokmani,5,Brochure,Binnaccount,,,,,,,
Sean O'Byrne,3,Spreadsheet,Hothouse Design,,,,,,,
Brett Ling,2,Database,Quattichem,,,,,,,
Lea Cabusbusan,7,PC maintenance,Rock ICT,,,,,,,
Brian O'Driscoll,3,Spreadsheet,Hothouse Design,,,,,,,
Wim Van Hoffmann,5,Brochure,Binnaccount,,,,,,,
